Diagnosis,Diagnosis_categories,Finished Admission Episodes,Emergency,Waiting list,Planned,Other,Mean_time_waited,Mean_length_of_stay,Young Children,Older Children and Adolescents,Young Adults,Middle-Aged Adults,Older Adults,Elderly 90+,Emergency Admission Ratio (%),Overcrowding_Status
Chronic viral hepatitis,Certain infectious and parasitic diseases,427,140,222.0,62.0,3.0,29.0,10.0,1,7.0,153.0,256.0,94,1,32.78688524590164,0
Unspecified viral hepatitis,Certain infectious and parasitic diseases,274,236,29.0,8.0,1.0,14.0,3.0,14,41.0,158.0,83.0,40,1,86.13138686131386,1
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Certain infectious and parasitic diseases,563,419,79.0,8.0,57.0,20.0,19.0,0,0.0,0.0,0.0,0,0,74.42273534635879,0
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Certain infectious and parasitic diseases,325,41,220.0,58.0,6.0,10.0,16.0,0,0.0,0.0,0.0,0,0,12.615384615384615,0
Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Certain infectious and parasitic diseases,88,59,6.0,5.0,18.0,35.0,32.0,0,0.0,0.0,0.0,0,0,67.04545454545455,0
Human immunodeficiency virus [HIV] disease resulting in other conditions,Certain infectious and parasitic diseases,321,85,199.0,27.0,10.0,29.0,13.0,0,0.0,0.0,0.0,0,0,26.479750778816197,0
Unspecified human immunodeficiency virus [HIV] disease,Certain infectious and parasitic diseases,219,153,45.0,15.0,6.0,47.0,15.0,0,0.0,0.0,0.0,0,0,69.86301369863014,0
Cytomegaloviral disease,Certain infectious and parasitic diseases,498,315,99.0,66.0,18.0,36.0,11.0,33,44.0,217.0,290.0,152,3,63.25301204819277,0
Mumps,Certain infectious and parasitic diseases,214,203,8.0,2.0,1.0,2.0,2.0,57,62.0,41.0,45.0,42,10,94.85981308411215,1
Infectious mononucleosis,Certain infectious and parasitic diseases,4416,4076,219.0,104.0,17.0,19.0,2.0,138,1533.0,3255.0,250.0,50,1,92.30072463768117,1
Viral conjunctivitis,Certain infectious and parasitic diseases,160,150,7.0,3.0,0.0,9.0,1.0,71,24.0,22.0,34.0,19,3,93.75,1
"Other viral diseases, not elsewhere classified",Certain infectious and parasitic diseases,130,117,9.0,4.0,0.0,6.0,5.0,75,15.0,31.0,29.0,40,6,90.0,1
Viral infection of unspecified site,Certain infectious and parasitic diseases,82142,80418,743.0,711.0,270.0,29.0,1.0,55617,14700.0,7888.0,6546.0,4421,484,97.90119549073556,1
Dermatophytosis,Certain infectious and parasitic diseases,660,419,218.0,19.0,4.0,60.0,3.0,54,123.0,105.0,213.0,262,14,63.48484848484849,0
Other superficial mycoses,Certain infectious and parasitic diseases,287,220,55.0,11.0,1.0,68.0,3.0,28,27.0,63.0,110.0,100,28,76.65505226480836,0
Candidiasis,Certain infectious and parasitic diseases,6346,2508,3376.0,411.0,51.0,30.0,5.0,555,151.0,841.0,2432.0,3488,219,39.52095808383233,0
Coccidioidomycosis,Certain infectious and parasitic diseases,3,0,3.0,0.0,0.0,21.0,0.0,0,0.0,0.0,1.0,2,0,0.0,0
Histoplasmosis,Certain infectious and parasitic diseases,19,13,4.0,1.0,1.0,43.0,18.0,3,1.0,1.0,23.0,6,0,68.42105263157895,0
Paracoccidioidomycosis,Certain infectious and parasitic diseases,3,1,2.0,0.0,0.0,13.0,4.0,0,1.0,0.0,2.0,0,0,33.33333333333333,0
Sporotrichosis,Certain infectious and parasitic diseases,2,1,1.0,0.0,0.0,47.0,9.0,0,0.0,1.0,0.0,1,0,50.0,0
Chromomycosis and phaeomycotic abscess,Certain infectious and parasitic diseases,19,18,1.0,0.0,0.0,426.0,1.0,3,1.0,6.0,10.0,3,0,94.73684210526315,1
Aspergillosis,Certain infectious and parasitic diseases,1114,327,428.0,348.0,11.0,33.0,12.0,22,122.0,117.0,669.0,687,5,29.353680430879713,0
Cryptococcosis,Certain infectious and parasitic diseases,44,26,11.0,2.0,5.0,14.0,43.0,0,0.0,11.0,30.0,60,0,59.09090909090909,0
Zygomycosis,Certain infectious and parasitic diseases,16,3,4.0,8.0,1.0,7.0,50.0,0,4.0,6.0,8.0,4,0,18.75,0
Mycetoma,Certain infectious and parasitic diseases,39,6,30.0,3.0,0.0,64.0,10.0,0,2.0,2.0,20.0,21,1,15.384615384615385,0
"Other mycoses, not elsewhere classified",Certain infectious and parasitic diseases,9,3,4.0,2.0,0.0,16.0,18.0,0,0.0,4.0,1.0,6,0,33.33333333333333,0
Unspecified mycosis,Certain infectious and parasitic diseases,387,110,54.0,221.0,2.0,50.0,8.0,17,103.0,86.0,160.0,71,4,28.42377260981912,0
Plasmodium falciparum malaria,Certain infectious and parasitic diseases,1427,1328,47.0,29.0,23.0,3.0,3.0,40,240.0,695.0,1045.0,171,1,93.06236860546602,1
Plasmodium vivax malaria,Certain infectious and parasitic diseases,102,92,8.0,1.0,1.0,3.0,3.0,2,19.0,71.0,35.0,16,0,90.19607843137256,1
Plasmodium malariae malaria,Certain infectious and parasitic diseases,24,23,0.0,1.0,0.0,0.0,3.0,2,2.0,13.0,13.0,2,0,95.83333333333334,1
Other parasitologically confirmed malaria,Certain infectious and parasitic diseases,94,86,4.0,3.0,1.0,1.0,2.0,1,15.0,69.0,44.0,10,0,91.48936170212765,1
Unspecified malaria,Certain infectious and parasitic diseases,296,272,20.0,2.0,2.0,2.0,2.0,13,44.0,153.0,160.0,13,0,91.8918918918919,1
Leishmaniasis,Certain infectious and parasitic diseases,145,19,102.0,24.0,0.0,14.0,12.0,9,4.0,55.0,39.0,52,0,13.10344827586207,0
African trypanosomiasis,Certain infectious and parasitic diseases,1,0,1.0,0.0,0.0,21.0,0.0,0,0.0,0.0,1.0,0,0,0.0,0
Toxoplasmosis,Certain infectious and parasitic diseases,43,26,13.0,3.0,1.0,6.0,22.0,0,3.0,10.0,11.0,11,0,60.46511627906976,0
Pneumocystosis,Certain infectious and parasitic diseases,412,336,46.0,22.0,8.0,41.0,19.0,11,7.0,76.0,369.0,643,1,81.55339805825243,0
"Other protozoal diseases, not elsewhere classified",Certain infectious and parasitic diseases,21,13,8.0,0.0,0.0,94.0,7.0,0,0.0,10.0,18.0,3,0,61.904761904761905,0
Schistosomiasis [bilharziasis],Certain infectious and parasitic diseases,72,13,53.0,6.0,0.0,44.0,2.0,0,9.0,45.0,20.0,4,0,18.055555555555554,0
Other fluke infections,Certain infectious and parasitic diseases,3,1,2.0,0.0,0.0,19.0,3.0,0,0.0,2.0,0.0,1,0,33.33333333333333,0
Echinococcosis,Certain infectious and parasitic diseases,101,57,37.0,4.0,3.0,46.0,5.0,0,36.0,71.0,34.0,2,0,56.43564356435643,0
Taeniasis,Certain infectious and parasitic diseases,4,3,1.0,0.0,0.0,0.0,0.0,0,0.0,2.0,1.0,1,0,75.0,0
Cysticercosis,Certain infectious and parasitic diseases,11,8,2.0,0.0,1.0,150.0,18.0,0,0.0,13.0,6.0,0,0,72.72727272727273,0
Diphyllobothriasis and sparganosis,Certain infectious and parasitic diseases,1,1,0.0,0.0,0.0,0.0,7.0,0,0.0,1.0,0.0,0,0,100.0,1
Other cestode infections,Certain infectious and parasitic diseases,5,5,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,0.0,0,0,100.0,1
Onchocerciasis,Certain infectious and parasitic diseases,2,1,1.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2.0,0,0,50.0,0
Filariasis,Certain infectious and parasitic diseases,7,3,2.0,2.0,0.0,0.0,3.0,1,1.0,1.0,3.0,0,0,42.857142857142854,0
Hookworm diseases,Certain infectious and parasitic diseases,19,15,4.0,0.0,0.0,14.0,0.0,4,2.0,8.0,5.0,1,0,78.94736842105263,0
Ascariasis,Certain infectious and parasitic diseases,1,1,0.0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.0,0,0,100.0,1
Strongyloidiasis,Certain infectious and parasitic diseases,12,7,5.0,0.0,0.0,12.0,7.0,0,0.0,0.0,9.0,9,0,58.333333333333336,0
Trichuriasis,Certain infectious and parasitic diseases,6,0,5.0,1.0,0.0,70.0,0.0,0,0.0,2.0,3.0,1,0,0.0,0
Enterobiasis,Certain infectious and parasitic diseases,335,117,196.0,22.0,0.0,46.0,1.0,19,111.0,112.0,99.0,18,0,34.92537313432836,0
"Other intestinal helminthiases, not elsewhere classified",Certain infectious and parasitic diseases,1,1,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0.0,1,0,100.0,1
Unspecified intestinal parasitism,Certain infectious and parasitic diseases,61,9,48.0,4.0,0.0,48.0,1.0,2,7.0,22.0,26.0,4,0,14.754098360655737,0
Other helminthiases,Certain infectious and parasitic diseases,33,22,9.0,2.0,0.0,61.0,1.0,9,8.0,6.0,9.0,2,0,66.66666666666666,0
Pediculosis and phthiriasis,Certain infectious and parasitic diseases,20,20,0.0,0.0,0.0,0.0,4.0,3,13.0,0.0,1.0,4,1,100.0,1
Scabies,Certain infectious and parasitic diseases,371,337,25.0,8.0,1.0,8.0,5.0,116,68.0,63.0,84.0,188,26,90.83557951482479,1
Myiasis,Certain infectious and parasitic diseases,33,32,0.0,1.0,0.0,0.0,4.0,1,3.0,9.0,7.0,19,13,96.96969696969697,1
Other infestations,Certain infectious and parasitic diseases,31,12,19.0,0.0,0.0,111.0,5.0,1,0.0,8.0,15.0,21,1,38.70967741935484,0
Unspecified parasitic disease,Certain infectious and parasitic diseases,8,7,1.0,0.0,0.0,29.0,0.0,1,1.0,4.0,1.0,1,0,87.5,1
Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,3,2,0.0,0.0,1.0,0.0,16.0,0,0.0,0.0,1.0,3,0,66.66666666666666,0
Other specified bacterial agents as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,2,0,0.0,1.0,1.0,0.0,5.0,0,0.0,16.0,0.0,1,0,0.0,0
Viral agents as the cause of diseases classified to other chapters,Certain infectious and parasitic diseases,3,3,0.0,0.0,0.0,0.0,2.0,1,0.0,0.0,1.0,2,0,100.0,1
Other and unspecified infectious diseases,Certain infectious and parasitic diseases,11652,11103,221.0,281.0,47.0,37.0,7.0,285,192.0,1209.0,3701.0,13556,2501,95.28836251287332,1
Malignant neoplasm of lip,Neoplasms,441,9,400.0,32.0,0.0,43.0,4.0,0,0.0,9.0,145.0,276,18,2.0408163265306123,0
Malignant neoplasm of base of tongue,Neoplasms,5338,481,2347.0,2485.0,25.0,16.0,6.0,0,2.0,45.0,3277.0,2314,13,9.010865492693892,0
Malignant neoplasm of other and unspecified parts of tongue,Neoplasms,3639,294,2206.0,1118.0,21.0,23.0,9.0,0,2.0,162.0,2029.0,1911,44,8.07914262159934,0
Malignant neoplasm of gum,Neoplasms,872,57,558.0,254.0,3.0,25.0,11.0,0,0.0,16.0,299.0,684,22,6.536697247706422,0
Malignant neoplasm of floor of mouth,Neoplasms,879,73,515.0,286.0,5.0,35.0,14.0,0,0.0,6.0,565.0,461,7,8.304891922639362,0
Malignant neoplasm of palate,Neoplasms,954,78,511.0,362.0,3.0,39.0,6.0,0,10.0,39.0,459.0,506,11,8.176100628930817,0
Malignant neoplasm of other and unspecified parts of mouth,Neoplasms,1340,128,816.0,389.0,7.0,21.0,10.0,0,5.0,23.0,639.0,910,20,9.55223880597015,0
Malignant neoplasm of parotid gland,Neoplasms,1139,68,826.0,240.0,5.0,62.0,4.0,0,30.0,126.0,491.0,580,13,5.970149253731343,0
Malignant neoplasm of other and unspecified major salivary glands,Neoplasms,331,26,236.0,68.0,1.0,56.0,4.0,18,3.0,49.0,136.0,153,5,7.854984894259818,0
Malignant neoplasm of tonsil,Neoplasms,6532,541,2999.0,2969.0,23.0,21.0,4.0,0,0.0,101.0,4770.0,1872,4,8.282302510716473,0
Malignant neoplasm of oropharynx,Neoplasms,2237,315,840.0,1071.0,11.0,20.0,8.0,0,0.0,29.0,1479.0,1001,12,14.081358962896736,0
Malignant neoplasm of nasopharynx,Neoplasms,1551,159,582.0,799.0,11.0,18.0,6.0,0,155.0,147.0,1027.0,335,1,10.251450676982591,0
Malignant neoplasm of piriform sinus,Neoplasms,826,101,413.0,302.0,10.0,20.0,12.0,0,0.0,6.0,504.0,428,1,12.227602905569007,0
Malignant neoplasm of hypopharynx,Neoplasms,1324,268,492.0,551.0,13.0,25.0,16.0,0,0.0,11.0,750.0,796,17,20.241691842900302,0
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Neoplasms,548,111,286.0,147.0,4.0,23.0,11.0,0,2.0,4.0,318.0,362,6,20.255474452554743,0
Malignant neoplasm of oesophagus,Neoplasms,38305,4260,16698.0,17269.0,78.0,26.0,10.0,0,0.0,303.0,14494.0,31144,819,11.121263542618458,0
Malignant neoplasm of stomach,Neoplasms,23178,2574,9287.0,11243.0,74.0,23.0,10.0,0,2.0,593.0,9928.0,17284,527,11.105358529640176,0
Malignant neoplasm of small intestine,Neoplasms,5503,669,2072.0,2726.0,36.0,41.0,12.0,0,0.0,177.0,2454.0,4001,88,12.157005269852808,0
Malignant neoplasm of colon,Neoplasms,104521,7909,46978.0,49525.0,109.0,35.0,9.0,1,80.0,3387.0,42846.0,66805,1569,7.566900431492236,0
